stock_name,Basic EPS (Rs.)_yr1,Basic EPS (Rs.)_yr2,Basic EPS (Rs.)_yr3,Basic EPS (Rs.)_yr4,Basic EPS (Rs.)_yr5,Diluted EPS (Rs.)_yr1,Diluted EPS (Rs.)_yr2,Diluted EPS (Rs.)_yr3,Diluted EPS (Rs.)_yr4,Diluted EPS (Rs.)_yr5,Cash EPS (Rs.)_yr1,Cash EPS (Rs.)_yr2,Cash EPS (Rs.)_yr3,Cash EPS (Rs.)_yr4,Cash EPS (Rs.)_yr5,Book Value [ExclRevalReserve]/Share (Rs.)_yr1,Book Value [ExclRevalReserve]/Share (Rs.)_yr2,Book Value [ExclRevalReserve]/Share (Rs.)_yr3,Book Value [ExclRevalReserve]/Share (Rs.)_yr4,Book Value [ExclRevalReserve]/Share (Rs.)_yr5,Book Value [InclRevalReserve]/Share (Rs.)_yr1,Book Value [InclRevalReserve]/Share (Rs.)_yr2,Book Value [InclRevalReserve]/Share (Rs.)_yr3,Book Value [InclRevalReserve]/Share (Rs.)_yr4,Book Value [InclRevalReserve]/Share (Rs.)_yr5,Dividend / Share(Rs.)_yr1,Dividend / Share(Rs.)_yr2,Dividend / Share(Rs.)_yr3,Dividend / Share(Rs.)_yr4,Dividend / Share(Rs.)_yr5,Revenue from Operations/Share (Rs.)_yr1,Revenue from Operations/Share (Rs.)_yr2,Revenue from Operations/Share (Rs.)_yr3,Revenue from Operations/Share (Rs.)_yr4,Revenue from Operations/Share (Rs.)_yr5,PBDIT/Share (Rs.)_yr1,PBDIT/Share (Rs.)_yr2,PBDIT/Share (Rs.)_yr3,PBDIT/Share (Rs.)_yr4,PBDIT/Share (Rs.)_yr5,PBIT/Share (Rs.)_yr1,PBIT/Share (Rs.)_yr2,PBIT/Share (Rs.)_yr3,PBIT/Share (Rs.)_yr4,PBIT/Share (Rs.)_yr5,PBT/Share (Rs.)_yr1,PBT/Share (Rs.)_yr2,PBT/Share (Rs.)_yr3,PBT/Share (Rs.)_yr4,PBT/Share (Rs.)_yr5,Net Profit/Share (Rs.)_yr1,Net Profit/Share (Rs.)_yr2,Net Profit/Share (Rs.)_yr3,Net Profit/Share (Rs.)_yr4,Net Profit/Share (Rs.)_yr5,PBDIT Margin (%)_yr1,PBDIT Margin (%)_yr2,PBDIT Margin (%)_yr3,PBDIT Margin (%)_yr4,PBDIT Margin (%)_yr5,PBIT Margin (%)_yr1,PBIT Margin (%)_yr2,PBIT Margin (%)_yr3,PBIT Margin (%)_yr4,PBIT Margin (%)_yr5,PBT Margin (%)_yr1,PBT Margin (%)_yr2,PBT Margin (%)_yr3,PBT Margin (%)_yr4,PBT Margin (%)_yr5,Net Profit Margin (%)_yr1,Net Profit Margin (%)_yr2,Net Profit Margin (%)_yr3,Net Profit Margin (%)_yr4,Net Profit Margin (%)_yr5,Return on Networth / Equity (%)_yr1,Return on Networth / Equity (%)_yr2,Return on Networth / Equity (%)_yr3,Return on Networth / Equity (%)_yr4,Return on Networth / Equity (%)_yr5,Return on Capital Employed (%)_yr1,Return on Capital Employed (%)_yr2,Return on Capital Employed (%)_yr3,Return on Capital Employed (%)_yr4,Return on Capital Employed (%)_yr5,Return on Assets (%)_yr1,Return on Assets (%)_yr2,Return on Assets (%)_yr3,Return on Assets (%)_yr4,Return on Assets (%)_yr5,Total Debt/Equity (X)_yr1,Total Debt/Equity (X)_yr2,Total Debt/Equity (X)_yr3,Total Debt/Equity (X)_yr4,Total Debt/Equity (X)_yr5,Asset Turnover Ratio (%)_yr1,Asset Turnover Ratio (%)_yr2,Asset Turnover Ratio (%)_yr3,Asset Turnover Ratio (%)_yr4,Asset Turnover Ratio (%)_yr5,Current Ratio (X)_yr1,Current Ratio (X)_yr2,Current Ratio (X)_yr3,Current Ratio (X)_yr4,Current Ratio (X)_yr5,Quick Ratio (X)_yr1,Quick Ratio (X)_yr2,Quick Ratio (X)_yr3,Quick Ratio (X)_yr4,Quick Ratio (X)_yr5,Inventory Turnover Ratio (X)_yr1,Inventory Turnover Ratio (X)_yr2,Inventory Turnover Ratio (X)_yr3,Inventory Turnover Ratio (X)_yr4,Inventory Turnover Ratio (X)_yr5,Dividend Payout Ratio (NP) (%)_yr1,Dividend Payout Ratio (NP) (%)_yr2,Dividend Payout Ratio (NP) (%)_yr3,Dividend Payout Ratio (NP) (%)_yr4,Dividend Payout Ratio (NP) (%)_yr5,Dividend Payout Ratio (CP) (%)_yr1,Dividend Payout Ratio (CP) (%)_yr2,Dividend Payout Ratio (CP) (%)_yr3,Dividend Payout Ratio (CP) (%)_yr4,Dividend Payout Ratio (CP) (%)_yr5,Earnings Retention Ratio (%)_yr1,Earnings Retention Ratio (%)_yr2,Earnings Retention Ratio (%)_yr3,Earnings Retention Ratio (%)_yr4,Earnings Retention Ratio (%)_yr5,Cash Earnings Retention Ratio (%)_yr1,Cash Earnings Retention Ratio (%)_yr2,Cash Earnings Retention Ratio (%)_yr3,Cash Earnings Retention Ratio (%)_yr4,Cash Earnings Retention Ratio (%)_yr5,Enterprise Value (Cr.)_yr1,Enterprise Value (Cr.)_yr2,Enterprise Value (Cr.)_yr3,Enterprise Value (Cr.)_yr4,Enterprise Value (Cr.)_yr5,EV/Net Operating Revenue (X)_yr1,EV/Net Operating Revenue (X)_yr2,EV/Net Operating Revenue (X)_yr3,EV/Net Operating Revenue (X)_yr4,EV/Net Operating Revenue (X)_yr5,EV/EBITDA (X)_yr1,EV/EBITDA (X)_yr2,EV/EBITDA (X)_yr3,EV/EBITDA (X)_yr4,EV/EBITDA (X)_yr5,MarketCap/Net Operating Revenue (X)_yr1,MarketCap/Net Operating Revenue (X)_yr2,MarketCap/Net Operating Revenue (X)_yr3,MarketCap/Net Operating Revenue (X)_yr4,MarketCap/Net Operating Revenue (X)_yr5,Retention Ratios (%)_yr1,Retention Ratios (%)_yr2,Retention Ratios (%)_yr3,Retention Ratios (%)_yr4,Retention Ratios (%)_yr5,Price/BV (X)_yr1,Price/BV (X)_yr2,Price/BV (X)_yr3,Price/BV (X)_yr4,Price/BV (X)_yr5,Price/Net Operating Revenue_yr1,Price/Net Operating Revenue_yr2,Price/Net Operating Revenue_yr3,Price/Net Operating Revenue_yr4,Price/Net Operating Revenue_yr5,Earnings Yield_yr1,Earnings Yield_yr2,Earnings Yield_yr3,Earnings Yield_yr4,Earnings Yield_yr5
The Ramco Cements Ltd.,14.52,38,32,25,21,14.52,38,32,25,21,35.89,54.74,47.32,38.89,34.14,287.5,276.13,238.52,208.77,189.31,287.5,276.13,238.52,208.77,189.31,2,3,3,2.5,3,344.28,253.07,223.33,227.86,218.43,51.57,55.63,67.09,49.41,44.77,30.22,38.66,52.03,36.03,32.1,20.05,33.91,48.31,33.41,30.37,14.54,37.78,32.26,25.51,21.47,14.97,21.98,30.03,21.68,20.49,8.77,15.27,23.29,15.81,14.69,5.82,13.39,21.63,14.66,13.9,4.22,14.92,14.44,11.19,9.83,5.05,13.68,13.52,12.22,11.34,6.24,8.89,13.74,11,12.47,2.36,6.83,6.7,5.98,6.23,0.66,0.6,0.55,0.54,0.32,0.59,0.49,46.43,53.43,63.46,0.61,0.61,0.6,0.67,0.67,0.33,0.31,0.35,0.4,0.4,1.58,1.25,8.81,8.32,9.2,0,0,9.3,21.57,13.98,0,0,6.34,14.15,8.79,0,0,90.7,78.43,86.02,0,0,93.66,85.85,91.21,"22,173.66","21,931.29","26,624.17","14,660.24","18,669.23",2.73,3.67,5.05,2.73,3.63,18.2,16.68,16.82,12.59,17.7,2.19,3.04,4.49,2.26,3.37,0,0,90.69,78.42,86.01,2.63,2.79,4.21,2.46,3.89,2.19,3.04,4.49,2.26,3.37,0.02,0.05,0.03,0.05,0.03
REC Ltd.,41.86,50.87,42.34,24.74,29.18,41.86,50.87,42.34,24.74,29.18,42.07,50.96,42.39,24.79,29.22,219.05,255.34,217.06,177.61,173.69,219.05,255.34,217.06,177.61,173.69,8.25,15.3,12.71,11,11,148.9,198.15,179.19,150.72,128.16,142.41,174.67,163.32,131.6,120.25,142.32,174.58,163.27,131.55,120.22,52.17,62.91,54.46,35.36,41.02,41.98,50.87,42.34,24.74,29.18,95.64,88.15,91.14,87.31,93.83,95.58,88.1,91.11,87.28,93.8,35.04,31.75,30.39,23.46,32,28.19,25.67,23.62,16.41,22.77,19.16,19.92,19.5,13.92,16.8,64.73,11.37,11.19,9.99,8.51,2.37,2.44,2.08,1.41,1.93,6.6,6.61,7.69,8.16,7.12,0.09,0.1,0.09,8.59,8.5,1.13,3.79,3.53,3.97,15.58,1.13,3.79,3.53,3.97,15.58,0,0,0,0,0,0,24,25.98,44.46,43.68,0,23.96,25.95,44.36,43.63,0,76,74.02,55.54,56.32,0,76.04,74.05,55.64,56.37,"4,09,249.60","3,54,971.45","3,52,633.59","3,00,167.91","2,72,911.49",10.44,9.07,9.96,10.08,10.78,10.91,10.29,10.93,11.55,11.49,0.78,0.62,0.73,0.59,1.19,0,75.99,74.01,55.53,56.31,0.53,0.48,0.6,0.5,0.88,0.78,0.62,0.73,0.59,1.19,0.36,0.41,0.32,0.28,0.19
Rallis India Ltd.,4.73,8.45,11.76,9.54,7.93,4.73,8.45,11.76,9.54,7.93,9.43,12.27,15.05,12.7,10.3,88.96,87.24,81.83,72.5,66.12,88.96,87.24,81.83,72.5,66.12,2.5,3,3,2.5,2.5,152.57,133.9,124.93,115.78,102,11.88,15.51,18.69,15.19,13.88,7.18,11.69,15.39,12.03,11.51,6.59,11.44,15.61,12.3,11.24,4.73,8.45,11.76,9.54,7.93,7.78,11.58,14.95,13.12,13.6,4.7,8.72,12.32,10.39,11.28,4.31,8.54,12.49,10.62,11.01,3.09,6.3,9.41,8.23,7.77,5.31,9.68,14.36,13.15,11.99,7.72,12.75,17.89,15.63,16.63,3.28,5.74,8.83,7.57,7.13,0.06,0.03,0.02,0.04,0.05,1.05,0.96,0.97,92,91.85,1.66,1.67,1.81,1.7,1.73,0.86,0.8,0.97,0.96,0.91,1.97,1.84,1.92,3.22,2.95,63.45,35.51,21.26,26.21,31.53,31.82,24.45,16.6,19.68,24.27,36.55,64.49,78.74,73.79,68.47,68.18,75.55,83.4,80.32,75.73,"3,807.15","4,622.19","4,902.10","3,428.90","3,235.54",1.28,1.78,2.02,1.52,1.63,16.48,15.33,13.49,11.61,11.99,1.26,1.78,2.02,1.52,1.62,36.54,64.48,78.73,73.78,68.46,2.17,2.73,3.09,2.42,2.5,1.26,1.78,2.02,1.52,1.62,0.02,0.04,0.05,0.05,0.05
Rail Vikas Nigam Ltd.,6.08,5.21,4.51,3.79,2.91,6.08,5.21,4.51,3.79,2.91,6.19,5.31,4.62,3.89,2.94,31.07,27.01,23.82,21.58,17.93,31.07,27.01,23.82,21.58,17.93,2.13,1.83,1.58,1.14,0.09,97.27,92.96,73.88,69.69,48.25,10.78,9.55,5.79,5.05,3.85,10.67,9.45,5.68,4.95,3.83,7.89,6.74,5.54,4.75,3.64,6.08,5.21,4.51,3.79,2.91,11.08,10.27,7.83,7.24,7.98,10.97,10.16,7.68,7.1,7.93,8.1,7.25,7.5,6.81,7.53,6.25,5.6,6.1,5.43,6.02,19.57,19.3,18.94,17.55,16.22,16.94,16.05,10.72,11.36,11.35,7.21,5.68,6.94,6.7,5.31,0.99,1.17,1.14,0.95,0.81,1.11,1.19,113.68,123.4,88.22,2.02,2.11,3.98,3.16,1.85,2.02,2.1,3.97,3.15,1.85,0,0,655.75,"1,582.52","2,245.45",0,38.73,25.27,2.45,29.77,0,38,24.67,2.38,29.5,0,61.27,74.73,97.55,70.23,0,62,75.33,97.62,70.5,"18,901.64","6,627.95","9,697.00","5,965.09",0,0.93,0.34,0.63,0.41,0,8.41,3.33,8.03,5.67,0,0.71,0.35,0.39,0.19,0,0,61.26,74.72,97.54,70.22,2.21,1.21,1.22,0.6,0,0.71,0.35,0.39,0.19,0,0.09,0.16,0.15,0.29,0
Rajesh Exports Ltd.,1.04,0.77,3.36,13.65,14.97,1.04,0.77,3.36,13.65,14.97,1.05,0.8,3.38,13.7,15.02,169.9,169.32,169.54,167.19,154.53,169.9,169.32,169.54,167.19,154.53,0,1,1,1,1,195.13,211.22,69.78,"1,588.40","1,445.20",1.11,3.9,8.18,22.03,26.65,1.09,3.87,8.15,21.99,26.6,1.09,1.03,3.51,14.76,15.77,1.03,0.77,3.35,13.66,14.97,0.57,1.84,11.72,1.38,1.84,0.55,1.83,11.67,1.38,1.84,0.55,0.48,5.02,0.92,1.09,0.52,0.36,4.79,0.85,1.03,0.6,0.45,1.97,8.16,9.68,0.64,2.28,4.79,13.12,17.17,0.35,0.23,1.06,2.19,2.08,0.13,0.13,0.14,0.19,1.33,0.64,0.66,22.19,255.69,201.56,1.67,1.52,1.56,1.17,1.11,1.56,1.43,1.48,1.12,1.07,14.84,16.56,6.07,80.91,68.28,0,130.32,29.89,7.32,6.67,0,125.29,29.59,7.3,6.65,0,-30.32,70.11,92.68,93.33,0,-25.29,70.41,92.7,93.35,"18,071.83","20,452.72","14,137.32","5,786.31","11,270.72",3.14,3.28,6.86,0.12,0.26,549.13,177.62,58.52,8.9,14.32,3.12,3.27,6.86,0.34,0.46,0,-30.32,70.1,92.67,93.32,3.59,4.08,2.82,3.24,4.31,3.12,3.27,6.86,0.34,0.46,0,0,0.01,0.03,0.02
Rainbow Childrens Medicare Ltd.,20.4,15.18,,,,20.4,14.87,,,,28.53,23.31,,,,107.23,66.49,,,,107.23,66.49,,,,3,2,,,,109.75,98.3,,,,40.71,33.68,,,,32.47,25.49,,,,26.88,20.17,,,,20.28,15.13,,,,37.09,34.25,,,,29.58,25.93,,,,24.49,20.52,,,,18.48,15.38,,,,18.91,22.75,,,,20.28,20.51,,,,11.7,11.07,,,,0,0.07,,,,0.73,0.79,,,,3.51,2.39,,,,3.38,2.27,,,,0,0,,,,9.85,6.17,,,,7,4,,,,90.15,93.83,,,,93,96,,,,"7,376.59",0,,,,6.62,0,,,,17.85,0,,,,6.65,0,,,,90.14,93.82,,,,6.81,0,,,,6.65,0,,,,0.03,0,,,
Quess Corp Ltd.,8.79,9.8,-6.76,-22.94,15.86,8.72,9.71,-6.67,-22.94,15.77,13.17,13.04,-3.21,-18.39,18.88,146.51,149.26,150.63,157.17,177.63,146.51,149.26,150.63,157.17,177.63,8,8,7,0,0,822.8,659.4,506.73,524.72,384.23,17.85,21.53,6.6,25.83,24.34,13.46,18.28,3.05,21.39,21.29,9.02,12.21,-2.01,-20.84,16.93,8.78,9.79,-6.76,-22.84,15.83,2.17,3.26,1.3,4.92,6.33,1.63,2.77,0.6,4.07,5.53,1.09,1.85,-0.39,-3.97,4.4,1.06,1.48,-1.33,-4.35,4.12,5.99,6.55,-4.48,-14.53,8.91,8.15,11.16,1.86,12.69,11.04,3.09,3.74,-3.05,-8.68,6.2,0.22,0.22,0.14,0.34,0.22,3.02,2.74,229.33,199.54,150.7,1.31,1.21,1.62,1.18,1.76,1.31,1.2,1.61,1.17,1.75,25.45,0,988.82,754.92,531.25,0,112.19,0,0,0,0,84.22,0,0,0,0,-12.19,0,0,0,0,15.78,0,0,0,"5,864.00","10,078.01","10,480.39","3,470.75","11,104.27",0.48,1.03,1.4,0.45,1.98,22.16,31.62,107.45,9.11,31.23,0.45,1,1.38,0.4,1.95,0,-12.19,0,0,0,2.52,4.41,4.64,1.35,4.21,0.45,1,1.38,0.4,1.95,0.02,0.01,-0.01,-0.11,0.02
Sapphire Foods India Ltd.,35.58,4.16,,,,35.16,4.16,,,,72.83,32.25,,,,202.09,163.93,,,,202.09,163.93,,,,0,0,,,,308.89,220.03,,,,65.62,42.76,,,,28.37,14.41,,,,15.86,3.9,,,,35.58,3.9,,,,21.24,19.43,,,,9.18,6.54,,,,5.13,1.77,,,,11.51,1.77,,,,17.6,2.38,,,,8.85,5.42,,,,8.99,1.19,,,,0.7,0.05,,,,0.85,0.84,,,,0.91,1.37,,,,0.76,1.25,,,,10.12,10.21,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,,"8,452.45","9,210.39",,,,4.31,6.59,,,,20.27,33.9,,,,3.94,6.71,,,,0,0,,,,6.03,9.01,,,,3.94,6.71,,,,0.03,0,,,
Ratnamani Metals and Tubes Ltd.,73.34,68.99,59.04,65.81,54.13,73.34,68.99,59.04,65.81,54.13,84.25,86.16,71.21,78.33,67.49,385.03,480.85,425.11,365.55,325.69,385.03,480.85,425.11,365.55,325.69,12,9.33,14,12,9,623.47,671.71,491.81,553.35,589.56,113.18,113.91,94.83,103.96,95.82,102.27,96.74,82.66,91.44,82.46,98.99,92.17,77.76,86.95,79.3,73.34,68.99,59.04,65.81,54.13,18.15,16.95,19.28,18.78,16.25,16.4,14.4,16.8,16.52,13.98,15.87,13.72,15.81,15.71,13.45,11.76,10.27,12,11.89,9.18,19.04,14.34,13.88,18,16.61,25.43,18.87,17.64,22.19,24.61,14.4,10.88,10.54,12.08,12.32,0.06,0.07,0.07,0.13,0.04,1.34,1.13,87.86,101.64,134.23,3.21,3.47,3.87,2.65,2.91,1.62,1.5,2.62,1.26,1.7,2.63,2.82,4.28,3.01,4.67,0,20.29,0,31.91,11.08,0,16.24,0,26.81,8.89,0,79.71,0,68.09,88.92,0,83.76,0,73.19,91.11,"13,962.26","12,241.06","8,970.31","4,268.60","4,101.93",3.2,3.9,3.9,1.65,1.49,17.6,23,20.24,8.79,9.16,3.17,3.87,3.86,1.63,1.52,0,79.7,0,68.08,88.91,5.13,5.4,4.47,2.47,2.75,3.17,3.87,3.86,1.63,1.52,0.04,0.03,0.03,0.07,0.06
PVR INOX Ltd.,-51.26,-78.6,-131.23,6.08,36.97,-51.26,-78.6,-131.23,6.05,36.73,41.62,19.03,-26.33,109.68,71.54,750.34,227.62,302.9,284.95,258.8,750.34,227.62,302.9,284.95,258.8,0,0,0,4,2,363.29,198.9,37.15,639.6,587.65,113.62,68.34,23.57,215.84,116.86,38.01,-29.1,-69.17,112.03,82.28,-21.13,-110.08,-150.39,18.59,58.28,-33.99,-78.42,-119.08,5.87,36.96,31.27,34.35,63.44,33.74,19.88,10.46,-14.63,-186.19,17.51,14,-5.81,-55.34,-404.81,2.9,9.91,-9.35,-39.42,-320.52,0.91,6.28,-4.52,-34.45,-39.31,2.06,14.28,2.58,-3.01,-6.62,9.45,16.51,-2.02,-6.55,-9.71,0.41,5.26,0.24,1.08,0.6,0.75,0.78,0.3,0.16,3.02,44.79,83.75,0.35,0.57,0.87,0.56,0.32,0.32,0.55,0.85,0.53,0.3,6.41,0,9.71,113.41,106.3,0,0,0,119.49,6.52,0,0,0,6.39,3.37,0,0,0,-19.49,93.48,0,0,0,93.61,96.63,"16,487.49","12,655.07","7,814.17","6,857.75","8,603.99",4.63,10.43,34.62,2.09,3.13,14.81,30.36,54.56,6.19,15.75,4.22,9.66,32.95,1.85,2.8,0,0,0,-19.49,93.47,2.05,8.44,4.04,4.15,6.35,4.22,9.66,32.95,1.85,2.8,-0.02,-0.04,-0.1,0,0.02
Prince Pipes & Fittings Ltd.,10.98,22.62,20.16,11.77,9.12,10.98,22.62,20.16,11.77,9.12,18.49,28.92,25.56,14.95,13.96,123.37,114.44,94.84,76.13,44.32,123.37,114.44,94.84,76.13,44.32,0,3.5,3.5,1,0,245.19,240.3,188.28,148.66,174.62,23.41,38.09,34.47,21.42,21.24,15.91,31.73,29.07,16.7,16.4,14.91,30.47,27.19,13.69,12.37,10.98,22.56,20.16,10.23,9.12,9.54,15.84,18.3,14.41,12.16,6.48,13.2,15.43,11.23,9.39,6.08,12.67,14.44,9.2,7.08,4.47,9.38,10.7,6.87,5.22,8.9,19.71,21.25,13.43,20.58,12.61,27.18,29.49,19.99,27.16,6.54,12.86,13.81,7.97,7.94,0.04,0.12,0.08,0.29,0.63,1.43,1.5,128.98,115.98,152.03,2.45,1.89,1.89,1.72,1.09,1.52,0.94,1.45,1.02,0.68,3.79,4.52,9.11,4.75,7.82,0,15.44,7.43,11.78,0,0,12.04,5.86,8.06,0,0,84.56,92.57,88.22,0,0,87.96,94.14,91.94,0,"5,925.58","7,104.25","4,452.18","1,111.26",0,2.19,2.67,2.15,0.68,0,22.89,16.87,11.74,4.71,0,2.21,2.64,2.22,0.69,0,0,84.55,92.56,88.21,0,4.39,5.54,4.41,1.34,0,2.21,2.64,2.22,0.69,0,0.02,0.04,0.05,0.1,0
Prism Johnson Ltd.,-1.17,2.65,3.97,1.12,2.9,-1.17,2.65,3.97,1.12,2.9,5.55,8.12,8.99,5.1,6.08,23.95,25.21,22.63,22.32,22.69,23.95,25.21,22.63,22.32,22.69,0,0,0,1,0.5,133.33,110.63,100.03,110.7,118.32,8.5,12.13,12.96,10.89,11.43,1.78,6.66,7.94,6.91,8.25,-1.67,3.46,4.05,2.62,4.57,-1.17,2.65,3.97,1.12,2.9,6.37,10.96,12.95,9.83,9.66,1.33,6.02,7.93,6.24,6.97,-1.25,3.12,4.04,2.36,3.86,-0.87,2.39,3.97,1.01,2.45,-4.88,10.5,17.55,5.02,12.78,3.33,11.28,13.13,11.74,16.38,-1.13,2.63,4.04,1.13,3.31,1.05,1.06,1.2,1.28,1.01,1.31,1.11,101.95,111.6,135.25,0.73,0.85,0.89,0.86,0.77,0.48,0.53,0.64,0.6,0.51,2.4,3.97,10.7,10.75,11.88,0,0,0,107.49,20.78,0,0,0,23.62,9.91,0,0,0,-7.49,79.22,0,0,0,76.38,90.09,"6,252.64","6,852.88","7,491.49","2,586.42","5,922.42",0.93,1.23,1.49,0.46,0.99,14.62,11.22,11.48,4.72,10.29,0.79,1.04,1.31,0.27,0.81,0,0,0,-7.49,79.21,4.4,4.58,5.8,1.36,4.22,0.79,1.04,1.31,0.27,0.81,-0.01,0.02,0.03,0.04,0.03
